id;sr_no;uid;line;material_id;quantity;est_unit_price;act_unit_price;award_flag;quote_id;received_date;lead_days;rank;split_quantity_flag;material_description;last_updated;invite_ra_flag;award_acceptances_date;order_acceptances_date;order_acceptances_flag;material_name;material_image;technical_scrutiny_flag;vendor_attributes;margin_factor;fob;shipping_factor;freight;final_shipment_cost;tariff;calculated_tariffs_cost;total_cumberland_price;landed_price;approval_to_gain;mold_size_mold_weight;mold_life_expectancy;total_cost_comparison;length;width;guage;tolerance
1;11164;7c87bf00-f30b-4011-aea7-a978af1073bd;splash;ingratiate corner famously;6234;12502.75;29379.74;guard customise supposing;far minor;2025-01-07T15:42:04;11787.63;behest assured intensely;3681;following;wedge misjudge;19516;2025-01-07T00:16:35;2025-01-07T06:22:58;23465;advertisement denitrify;incidentally minus;12932;antagonize unless;10257.58;30373.25;16214.97;15027.84;15010.53;25697.68;10902.06;18145.39;10539.34;20389.29;commonly stained courageously;29050.3;26623.2;zowie boohoo;how;provision;outdo
2;16563;cd77a55d-d2f7-48a5-982b-8a0e8c6694d7;though tempting onto;ick haversack;13105;26424.84;28596.14;which;yahoo;2025-01-07T09:41:55;17221.88;versus part;13355;oh now between;deployment waterspout;20382;2025-01-07T11:33:44;2025-01-07T14:06:34;8753;boohoo;provided incidentally atop;16532;consequently oof while;12961.57;29964.61;16550.27;17404.98;21430.11;6035.36;28742.39;12744.67;11898.28;19521.07;jacket;30487.68;11673.32;over yippee;officially absent;materialise consequently;meanwhile since boo
3;22919;b1eb65f3-a03e-40fe-affd-7baf0d801489;almost upright;husky fooey shy;6607;12118.18;12362.12;than flame;though that;2025-01-07T10:41:09;17926.39;drat;32364;meanwhile vice;sympathetically gadzooks;3312;2025-01-07T14:53:44;2025-01-07T10:31:55;27751;yearly powerful;yuck;14630;intend subdued;13374.14;7255.9;4505.23;3920.15;16480.7;13739.48;19610.79;22571.22;13706.84;21697.39;ack under westernize;29416.16;9884.52;wisely;although energetically;supposing;willow event
4;2082;55e20483-4b3f-497d-907e-946598c921f7;quaintly inasmuch;inculcate roughly doubtfully;20253;25979.66;2794.14;knife eek;like behind;2025-01-06T18:23:50;25227.46;queasily even;27413;lawmaker cutlet;monthly onto reproachfully;29798;2025-01-07T02:34:48;2025-01-07T05:12:25;8804;scent content;until frozen deduce;24763;the pliers stake;24333.54;10292.14;18584.31;31339.06;3449.42;10158.37;13193.32;7806.95;22042.12;27721.82;guest;20244.96;30479.21;fooey meaningfully;while;gratefully;so memorable
5;23639;3a796ab0-8855-418d-ad5d-74189db0dfd2;perp orient warp;swanling voluntarily;22375;17037.55;19626.67;generously towards forenenst;gee;2025-01-07T15:01:43;1851.3;decriminalize unless impressive;27052;optimal hard-to-find frivolous;plus;11603;2025-01-07T14:37:04;2025-01-07T02:37:10;9925;respray punctually;well indelible eventually;31257;thoroughly putrid only;9208.63;4909.89;5800.1;32604.34;25339.36;6727.67;26507.39;30643.08;1420.72;10340.72;excepting underneath;6043.84;21876.53;faraway;following;trouser eventually interchange;intensely management
6;21897;244b934e-ccfb-4ffa-b29e-06c2155e46c6;dwell;whoever story;27240;18767.58;18278.6;gratefully yellow moor;knowingly;2025-01-07T16:41:17;18049.59;what gorgeous;25416;deflate;for greatly;2049;2025-01-07T09:25:26;2025-01-06T21:53:18;20805;replacement awkwardly strictly;moral phooey elver;22892;because blindly baptise;14130.23;26344.82;6548.02;13193.26;8078.04;4733.04;28172.56;4248.95;17429.28;9564.85;other authentic;7429.85;23534.58;regarding;singe;fathom yowza;apropos
7;19054;4c1c9711-ef28-4c41-93f4-b4f5dc7066d4;huzzah which;bicycle concerning barring;8400;25277.33;8931.28;ugh;if;2025-01-06T22:02:10;31995.83;versus;1399;bashfully freckle;abnormally limply scholarship;32736;2025-01-07T12:05:08;2025-01-06T18:18:33;1911;juicy disarm;unnecessarily inside;18705;fantastic average pilot;119.7;30118.76;3365.75;525.4;31664.46;9688.71;2600.57;4696.62;3245.78;10918.13;authorized;30476.05;25819.05;license since;enrage;upwardly impartial without;edible rejigger
8;15564;4b765ed1-909a-4757-8ad0-86b8c9a0d39f;spirited;sweetly;3934;2455.14;24709.49;questioningly outstanding;pish whether finally;2025-01-07T00:17:14;12588.77;overdub encode shore;20045;starch wherever;dock boohoo;5697;2025-01-07T06:17:41;2025-01-07T06:43:37;4298;innovation wire;suffice;395;since;13727.5;28316.06;18534.21;18109.19;10037.2;13714.19;17494.41;12517.83;970.98;15550.91;safely perky;22041.43;19379.16;baa gah wherever;gosh;hubris whereas;unabashedly
9;4136;26f18902-b0ea-40b7-acca-f67d09a7976a;whoever cinder;yearn;17054;26413.22;26243.81;pants;bah;2025-01-07T16:39:16;1704.53;modulo incidentally;18449;typewriter zowie;till giant aside;1575;2025-01-07T03:59:51;2025-01-07T09:49:38;10014;wherever;glossy save;4147;debut glider;12920.64;25314.58;18973.59;25587.4;32186.16;3915.48;17600.88;30305.45;24918.35;1607.81;than;6256.74;8353.77;surprisingly what circa;boohoo majestic jot;oh;cope catalog oof
10;23638;4c8000e9-0344-4a7e-94c4-6c516793f1a1;apropos;whereas;31371;22852.97;25443.37;realistic;lest assured platypus;2025-01-07T14:15:26;14890.91;membership squirm ha;21075;hole;duh eyeliner likewise;19147;2025-01-07T11:09:13;2025-01-07T09:41:25;14390;notwithstanding;daily contradict;3228;awesome consequently;17168.37;13764.13;16627.26;11294.87;23258.56;2225.02;27616.74;11662.84;22029.75;22437.89;notarize unto on;7679.81;12859.06;for meh corrupt;who circa claw;pro asset generously;by provided zowie
