id;sr_no;uid;approved_by;approval_date;created_by;created_date;updated_by;updated_date
1;21028;4f45151c-2cf5-467c-87e8-a73d5207fbef;youthful horn;2025-01-06;diagram nectarine busy;2025-01-07T13:50:28;valuable till;2025-01-06T21:22:35
2;14633;c827d58a-6d39-4391-8dcf-ffe16b6d4915;greatly translation;2025-01-06;ugh;2025-01-06T22:52:10;minority shovel;2025-01-06T18:40:35
3;3002;2d5de6b6-9e4c-4d54-87c9-625d0b18ff27;even;2025-01-07;successfully;2025-01-07T04:04:21;minus even;2025-01-06T19:21:58
4;30058;be85ec92-75d3-4efe-90ca-9a923db8d27b;essay barracks;2025-01-07;publication;2025-01-07T09:14:41;partridge jut;2025-01-07T00:08:37
5;25151;d8a4f8fe-fd72-46ff-805a-d34082799ace;foolishly nocturnal whose;2025-01-06;bolster;2025-01-07T02:57:56;aha jellyfish;2025-01-07T05:13:05
6;27598;b5482f7d-958b-4a05-9818-405d0fe937f8;naturally um next;2025-01-07;usually repurpose;2025-01-07T17:19:26;even;2025-01-07T06:58:02
7;32143;f7b568d8-99a3-4ef6-8302-becece315ffb;during chatter;2025-01-07;after;2025-01-06T19:13:32;trash throughout;2025-01-07T08:09:43
8;19538;c408d7e3-cc4e-430e-b638-542fc8d8e763;dim incomparable;2025-01-07;yet approach;2025-01-07T09:02:15;although partially however;2025-01-07T16:19:07
9;18892;5ae56c46-0072-4623-a5ce-3facacc4bcb8;nervously revitalise;2025-01-07;aw scoop;2025-01-07T15:14:35;glittering majestically colorfully;2025-01-07T03:21:54
10;7391;99521652-145f-47d1-b3ed-c6789589cbef;who;2025-01-07;as;2025-01-07T13:54:04;allocation that;2025-01-07T00:41:03
