id;sr_no;uid;quote_key;sales_person;customer_name;quote_number;status;mold_number;part_number;due_date;mold_manual;customer_po;vendor_quote;vendor_po;cad_file;quoted_price;delivery_time;quote_date;created_by;created_date;updated_by;updated_date
1;6643;c2a69924-e57a-46e7-aabc-9e1697aba71b;and;moist unfit arrange;atop more;fluctuate as;as forenenst while;er;or self-assured;2025-01-07;unnaturally;er;smoothly;worriedly pace oh;splosh unnecessarily;26255;dividend gadzooks fowl;2025-01-07;liquid so;2025-01-07T02:19:51;beyond hypothesize;2025-01-06T18:29:43
2;31480;14b86941-6c2c-4421-b311-a30e1a9023e1;outside gosh;serpentine;ha;pish;badly chip;legend;now department;2025-01-07;wholly quip including;gnaw oh;linear simplistic supposing;accountability;before;4643;seldom concentration;2025-01-07;metabolite nearly;2025-01-07T07:14:15;amongst;2025-01-07T07:17:59
3;13568;ed987402-540d-4402-a9d7-35350e498636;see whether;unabashedly forenenst;slowly;unwilling furthermore;ultimate adolescent;ultimate ick demonstrate;than;2025-01-06;around elegant;kiddingly fray;brr downright jump;but avow opera;persecute beautifully upon;1404;merrily inspect yowza;2025-01-06;hasty experienced mesh;2025-01-07T07:18:07;thoroughly blah miskey;2025-01-07T09:22:26
4;24569;f5a83fd0-50b6-40fe-ba4f-bc20d0b54239;steel community underneath;times low shoulder;pants of;apud grounded;under;yum oxidise;secularize heroine;2025-01-07;after;apropos compete;chilly hmph whenever;yet;impressionable via;15622;per;2025-01-07;nightlife amid;2025-01-07T17:14:18;gigantic;2025-01-07T09:12:59
5;12528;ebbc3032-61c5-4275-839b-1f2bee3f0c11;object banish birdcage;er when;mount if in;unless;per sin colossal;ha disconnection boo;nimble;2025-01-07;fooey within;athletic irritably;where whereas;inasmuch;or;16715;nor;2025-01-07;uh-huh excess;2025-01-07T14:15:40;as although regular;2025-01-06T19:40:06
6;25369;3f3bb1e5-8f7d-4644-923a-f2e0063e3a0e;briskly cork;justly microblog eek;toward joyfully repossess;tame biodegradable tenant;impanel hence vice;taro pish;playfully;2025-01-06;sleepily;gallivant grim;pepper interchange;earth;pomelo underneath;6480;snoop ugh;2025-01-06;instead;2025-01-07T12:24:37;etch eyebrow sans;2025-01-07T06:05:53
7;16077;872cbeb0-8dc8-48b7-8e5c-d742177adf1b;meh;laughter gadzooks out;queasy as;smoothly even nor;uh-huh ouch;sturdy whoa superb;across;2025-01-07;uh-huh;until brandish;for admonish prestigious;vice aw;worth amidst;29751;gracefully supposing eyebrow;2025-01-07;suffocate;2025-01-07T06:58:07;furthermore;2025-01-07T09:00:52
8;31563;82343d3e-a1cd-4402-8311-56423c508a9b;realistic;eek splash complication;nor ack;bah although essence;boohoo;primary alongside;scent aw;2025-01-07;how;drat phew;yippee gummy cautious;vivaciously;except obediently fedora;8731;next censor although;2025-01-07;winding yearn;2025-01-06T19:25:49;since ouch;2025-01-07T10:44:16
9;460;01ab99db-8c19-4f9c-a138-5960efe8fa1c;though tentacle;mantua;insecure downright;translation mystify;aware designation ascertain;lest;geez unabashedly dwell;2025-01-07;after;sturdy fluff longboat;intermix;pfft;lock;12664;careless granny judicious;2025-01-07;emergent swathe when;2025-01-07T09:59:41;fantastic heavy before;2025-01-07T12:34:47
10;19979;4769ee0c-4393-450d-ae5f-339463dc8395;rosy preside;display;once;chow;concrete er;below although however;shyly;2025-01-07;through lady;jubilantly about;verbally;or folklore properly;blossom airline;16566;knavishly worth;2025-01-07;restaurant wonderfully;2025-01-07T13:18:26;unabashedly;2025-01-07T10:24:15
