id;sr_no;uid;material_description;part_number;eau;manufacturing_location;fob_location;packing_requirements;machine_size;cycle_time;part_weight;runner_weight;cavities;comments;risk_level;created_by;created_date;updated_by;updated_date
1;20953;257aaea5-f958-4b46-8a69-6e6c24a29ad6;story stuff where;till pointless;12049;uh-huh whoever;bad ha;pale pace;near quip finally;9318;9786;3974;26158;gosh considering;task ajar;ironclad pish sparse;2025-01-07T13:19:51;showy;2025-01-07T17:30:29
2;31082;b42f762e-17f1-4936-a148-5b6981dac073;among hydrant;institute guilt past;18244;per nor blushing;puzzled until;awful jaggedly;trustworthy;564;3893;6787;3733;sheepishly;besides airline controvert;jot bright;2025-01-07T01:24:17;incidentally cuckoo cuddly;2025-01-07T09:04:20
3;21393;66dac5fa-190d-4daa-aba9-eb284c02d5fb;ack crumble;busily sans;4968;besides leap ack;fiercely;so ugh bitter;suitcase;14188;30005;4065;6180;consequently clamour unit;ah pfft;lava;2025-01-07T11:56:04;cross;2025-01-07T03:25:34
4;15675;12d09ad8-fe51-4245-ae76-94a77bd0391f;and;ick govern memorise;13194;fledgling;behind;instance shell ouch;quickly yum;18522;7841;29153;30089;nougat incidentally unused;apud;or bright;2025-01-07T00:24:47;petal ha whose;2025-01-07T14:16:28
5;2091;d7b048bc-1bb7-427e-94f0-715bee61cec5;peppery gah who;tenement throbbing;6763;intend inside furthermore;wing onto gosh;reflate;though ha;17131;15521;12534;18860;scratchy unused;furiously maestro;brr psst commonly;2025-01-07T12:00:21;ew angrily disarm;2025-01-07T00:56:19
6;20520;87751aa3-4d0a-4767-9a13-9310c04bfbd6;sunder enhance however;advocate blah;28669;that bakeware;strategy weakly;trolley viciously aw;which;22035;14054;19647;5700;icebreaker on;outflank joint whose;amid anticodon chase;2025-01-07T16:51:39;observe another anesthetize;2025-01-07T16:21:18
7;2571;789f6f0e-ad40-46ac-8bf8-dc1e3ffc1344;fork;joy passport shout;25104;marimba pfft;formula;excluding yowza which;masticate except;9885;17420;28586;9672;um;postbox;barge subexpression;2025-01-07T00:57:37;profuse and;2025-01-07T01:31:22
8;27136;9cc379d2-c3d4-4acf-9a8e-d14ec17f2b1d;bah;modulo aboard gladly;14528;gladly consequently aside;sunbeam;loyally;freight scared mount;27876;8645;11996;28569;jubilantly;vanadyl;arrogantly as noisily;2025-01-07T12:31:44;boohoo deck;2025-01-06T20:20:22
9;3498;5359cc31-3cb1-4915-8663-148284cac050;mid;rural internal what;23337;trek as;citizen questionably;um;merit responsible;4695;22366;189;4846;geez hm supposing;coaxingly;overdue;2025-01-07T00:00:26;failing;2025-01-07T12:26:06
10;21442;909c0a51-1f82-4289-ac30-cc3dc2a45947;speedily what why;now brr;16656;onto;whereas so;tennis fledgling writhing;tenement handle;30022;16245;1931;31200;consequently on;reassuringly;likewise;2025-01-07T14:28:10;whenever;2025-01-07T16:54:02
