id;sr_no;uid;material_description;part_number;material_id;supplier;est_annual_volume;est_production_run_yrs;material_cost_lb;part_weight_lb;runner_weight_lb;machine_size;machine_rate;scrap_rate;machine_efficiency;fte;labor_rate;number_of_cavities;cycle_time;purchase_component_cost_part;secondary_operation_external_process;secondary_operation_labor_rate;secondary_operation_machine_rate;secondary_operation_cycle_time;external_operation_rate;preventative_maintenance_frequency;preventative_maintenance_cost;target_profit;target_material_markup;actual_material_cost;part_per_hours;est_lot_size;setup_hours;external_operation_cost_per;external_machine_cost_per;extended_labor_cost_per;extended_material_cost_per;pack_logistic_cost_per;total_production_cost;total_material_cost;total_cost_sga_profit;sga_rate;profit;part_price;total_cost;total_sales;total_profit;cost_material;total_contribution_margin;contribution_margin;material_contribution_margin;comments;created_by;created_date;updated_by;updated_date
1;4879;d64aed90-f467-4214-99f3-2c580c8af421;weary patroller famously;nor mortally;abacus front;handover abseil moment;21377;26681;3396.62;11561.15;22481.5;athwart;31273.31;24830.24;23123.08;now;11264.57;2951;32162;19152.06;numb although;28053.53;4033.79;2228;16382.43;14154;17073;14577.7;4447.07;2769.26;20187.96;7598.46;8377.94;21669.41;16961.35;27966.56;27350.76;26690.18;2368.22;6232.49;30049.75;6806.28;26558.84;23569.67;5705.49;16737.5;23063.39;7782.68;21828.33;2984.84;31311.1;knife supposing lasting;deployment;2025-01-06T21:02:51;yippee bah;2025-01-07T07:01:00
2;23125;c7101d56-227d-48ae-9268-4294c25e005a;ack;uncomfortable;exasperation up treble;phooey loaf;18942;4624;7304.12;1846.03;17048.45;quaver;31955.56;6487.21;6289.77;reopen;28314.83;6900;5216;17708.02;huzzah wing;15375.63;19639.18;32580;20730.46;14463;8051;14252.17;10891.28;21667.1;5148.5;19557.09;4302.89;6398.23;1228.49;20941;13912.76;16799.65;7401.83;2141.37;4576.1;29781.08;2058.49;23096.62;24988.78;24446.58;8418.53;18846.48;2115.61;22881.01;23162.76;manipulate limp;ick pleasure;2025-01-07T14:41:37;near;2025-01-07T14:41:14
3;3009;e09f094a-9faa-434b-bf82-6ea1653d95c0;furlough ha;unfortunately;thorn handsome wherever;seriously baa innovation;30968;25469;29589.86;8607.79;1764.23;failing;11490.74;3246.48;24001.13;amidst;17863.72;16513;27473;25069;than;28058.53;24394.45;30759;15941.49;24947;20519;2759.07;28373.46;16032.06;11331.31;28907.18;1436.57;5072.54;19451.15;23769.8;20129.54;17393.44;3194.49;8700.17;23462.6;25731.58;21605.49;29355.22;5644.49;29669.36;18044.29;18906.93;9410.54;5252.74;3723.2;at deflect individual;yippee;2025-01-06T19:51:15;unnecessarily optimistically;2025-01-06T20:35:06
4;20518;f2fa5c46-f46f-4883-a0ee-90f524e077d9;moral energetically oh;as foodstuffs;swordfish whoa heartfelt;brr;9752;32149;16249.11;16729.51;23224.91;immense license seagull;15722.29;1632.71;29558.64;plagiarise;27611.21;18631;5049;8760.06;father;24353.17;19143.16;18919;24473.48;20777;20937;8715.59;4713.42;22383.91;9079.33;30995.88;5606.16;2301.38;12942.16;2496.16;28525.24;8693.56;28211.39;20318.07;20027.78;16563.35;18061.4;30524.09;20023.42;6972.52;17248.63;2389.15;25536.31;21827.19;20590.76;enthusiastically untrue;foolishly helplessly enchanting;2025-01-07T06:07:15;mmm whoever;2025-01-07T07:05:37
5;7641;dfe9d88a-f136-4f89-a854-41304dde4ec9;vivaciously median;only handle mobility;hence blah amongst;trick;5454;10647;23496.35;2623;16326.11;outrank;19639.72;1682.13;11640.97;phooey whoever;22599.07;26792;15151;121.89;or;18816.1;30425.36;25102;31877.19;24561;18955;31350.8;9509.26;10414.43;73.78;18798.88;3005.48;13254.96;25565.23;12201.72;11289.88;27467.99;13027.23;32714.8;27528.16;27097.88;9721.13;15824.97;6246.16;5245.01;7578.9;15865.05;23347.04;11615.52;16670.91;yet fooey or;continually zany although;2025-01-07T04:02:42;worriedly excluding;2025-01-07T07:24:46
6;9162;8db07697-e4a4-4086-9251-4a867fac7e6b;fax assist inside;adaptation creature;cycle proceed intervention;slime zowie atop;1826;4500;26678.16;27131.09;26458.73;rebel usefully;15765.38;952.34;25862.04;yuck beside to;4900.94;26566;26276;20097.87;upliftingly truthfully;4529.25;18924.13;18328;32304.52;15378;21186;11566.63;24984.04;27766.45;21856.51;14091.16;32394.98;6364.61;13143.53;2304.08;26669.85;20482.86;762.53;641.66;22931.53;5553.74;28294.71;3702.34;541.21;20575.46;15339.55;14277.04;7632.12;25695.71;1528.78;majestically distant premise;eke;2025-01-06T23:59:17;while;2025-01-07T12:43:21
7;2578;54be1392-f29d-4d59-911b-171a98f4f5cf;youthful gee attest;lid unique;inspection;hepatitis;13261;16919;11948.68;26719.45;24728.83;deselect;8801.09;30526.47;27989.31;passionate wilderness;12629.63;2492;16480;10236.25;round past very;12289.11;31144.49;25850;17145.62;24665;26384;25311.84;18106.38;29468.46;18702.65;5261.22;10499.1;22428.57;8995.29;10450.74;30299.14;18860.73;23709.47;22537.11;10777.27;26071.7;18108.81;5599.02;30921;3522.97;17757.65;20123.66;21093.16;3800.39;19702.94;aware;bruised;2025-01-06T19:20:30;foolishly;2025-01-06T22:41:44
8;7763;4f82e0a6-b87c-4511-931c-b4973a3bc482;accidentally willfully worth;woot though;aw numb reassemble;dirty;6367;4685;21312.18;30461.96;14925.19;whereas woot;4615.2;11635.61;11777.03;internalise in;1422.68;25378;6403;3924.64;finally;17002.45;2558.04;7218;11361.33;18291;3784;15747.74;12786.79;17000.39;7707.62;28578.38;7835.36;16020.35;12813.51;19228.56;1171.24;149.79;24053.81;24439.77;16333.83;1619.18;3890.01;1627.44;15603.47;5762.81;11911.4;6335.12;9917.95;26882.67;32234.57;stable;hungrily;2025-01-07T01:23:32;finally blah compromise;2025-01-06T23:46:18
9;23886;c66a4842-1929-4cc5-8c28-1c046c103b21;sans lest;silently lest;trouser basic finally;narrow often massive;88;25139;4320.63;13204.9;9563.08;woot fooey;9054.28;249.98;1578.48;respray yearly;17761.01;31358;570;17258.46;fooey;1594.06;24371.83;905;5456.97;32520;22124;5086.96;22530.8;10677.15;13366.64;2751.05;12092.8;18088.5;30994.24;4300.42;12028.77;23843.37;9887.93;15378.45;32108.64;5267.52;27633.45;30560.68;19536.02;29315.43;11556.92;11135.48;1467.25;25695.51;23046.34;miserably however;excluding burgeon upbeat;2025-01-07T03:06:23;or monumental yowza;2025-01-06T19:55:44
10;18472;3661caa5-b3f6-4bc4-b254-f20479a44c8a;gee writ;worth;incidentally whenever;huzzah;1530;14885;29446.44;13777.04;21597.9;boo;12657.12;29696.22;28463.28;blah lovable draft;7778.07;27267;15118;14397.85;amongst;10053.49;12744.16;27002;4072.4;19850;26096;6239.31;16025.97;32392.6;10740.23;28502.05;16048.36;3782.38;8271.43;29147.95;27637.09;19143.67;20135.11;15431.51;4546.34;14040.33;25567.55;28887.52;14460.94;11674.57;30523.75;29349.96;25426.49;22062.83;17147.24;despite;boohoo boohoo and;2025-01-07T01:44:27;exasperation loosely loyally;2025-01-07T06:26:09
