id;sr_no;uid;material_description;part_number;material_id;supplier;est_annual_volume;est_production_run_yrs;material_cost_lb;part_weight_lb;runner_weight_lb;machine_size;machine_rate;scrap_rate;machine_efficiency;fte;labor_rate;number_of_cavities;cycle_time;purchase_component_cost_part;secondary_operation_external_process;secondary_operation_labor_rate;secondary_operation_machine_rate;secondary_operation_cycle_time;external_operation_rate;preventative_maintenance_frequency;preventative_maintenance_cost;target_profit;target_material_markup;actual_material_cost;part_per_hours;est_lot_size;setup_hours;external_operation_cost_per;external_machine_cost_per;extended_labor_cost_per;extended_material_cost_per;pack_logistic_cost_per;total_production_cost;total_material_cost;total_cost_sga_profit;sga_rate;profit;part_price;total_cost;total_sales;total_profit;cost_material;total_contribution_margin;contribution_margin;material_contribution_margin;version;comments;created_by;created_date;updated_by;updated_date
1;29455;915b6355-1c93-4bf2-b25e-c46421ce9566;antelope powerful;preclude toe;yearn gracefully pulverize;imaginary since;5212;26190;28478.53;1912.89;19123.44;yuck microblog;23897.92;10522.68;28050.66;because selfish;24997.14;20726;26406;19524.52;aggressive;29023.69;23850.92;16253;4207.76;6182;30405;1716.43;16160.29;25505.81;17196.07;17138.26;21558.09;19400.97;27752.58;27079.27;8549.69;28704.56;30039.67;2642.37;3360.54;15934.59;7520.04;20649.82;8782.4;26223.55;21644.14;16903.67;28779.24;23938.33;14837.21;27373;whispered;toward;2025-01-07T03:33:28;hungry;2025-01-07T05:37:00
2;11708;81bb80e7-db45-4ab7-9506-ac4b11cc6d4f;while pine yum;father;aboard;sunbathe yuck evenly;7032;15503;7.93;2524.58;8538.87;yet agile;11610.86;25566.43;22638.38;grizzled chubby;22138.31;4163;30836;555.83;zebra siege carouse;23981.58;12609.82;30611;6579.9;9675;2854;1913.16;29607.96;25615.82;5286.13;18536.88;25203.81;32398.78;17819.64;20796.64;27906.7;30179.15;6807.4;411.64;15495.17;30890.31;29193.51;24149.35;31383.97;24539.53;30669.14;9758.96;923.55;17773.55;17986.41;8321;duh;dearest;2025-01-07T13:25:08;turret yesterday;2025-01-06T19:51:11
3;31895;493813ce-8a98-49fe-8199-c4458b24dced;definite lightly;and moralise or;fork;eek octave now;16739;27048;22114.17;28784.27;15910.05;enrage blah;11426.77;7473.44;8298.49;kindly nor;1032;1782;25214;29619.7;destock;31905.71;2454.11;15444;3691.44;18170;21599;12149.17;22598.05;6016.36;9427.81;16501.79;27965.61;25110;5561.42;14676.4;3464.11;22749.78;15748.41;25422.27;23257.07;22230.77;24306.67;30266.03;4609.14;7598.93;21994.57;7523.52;13333.08;30512.81;24449.33;25178;inside owlishly ouch;however analogy;2025-01-07T02:47:16;gurn gosh more;2025-01-07T14:04:49
4;4557;7d1acfbf-5785-4e17-a00b-2cefd87b3314;scratchy;rough pastel whoa;ah bonnet unpleasant;till unexpectedly;25454;10062;28868.11;5980.43;20199.86;which necklace;22312.27;28480.17;17629.15;gadzooks;9707.97;19861;32449;4697.03;oof quick;30405.69;19304.71;20196;11631.29;21602;16081;10995.87;6480.84;4381.38;32146.01;27408.05;31319.2;28345.1;587.55;18663.91;29194.71;8612.31;2309.92;20828.66;1385.8;27771.83;26213.9;10463.37;23406.46;6027.3;7989.17;27975.6;27807.44;22748.32;14622.1;530;pessimistic;even;2025-01-07T15:34:45;kowtow despite;2025-01-07T00:41:16
5;17933;2d45a38e-b59a-4cc9-9d6d-57d429f66196;rapidly;mythology soup;provided;vice ah amidst;19639;29077;30502.7;14791.7;9079.46;hence since joshingly;1731.51;12904.74;11735.01;phooey pro wonderfully;13395.1;29378;10015;36.18;happy-go-lucky;31864.52;14467.83;1954;11374.32;21779;26177;671.85;9636.38;18681.49;22729.48;18446.27;24564.43;25332.38;17751.38;16893.93;24973.97;26008.03;24037.7;2049.33;2872.22;23417.07;8484.65;26225.94;4309.18;1311.77;25857.09;4525.51;13926.38;12579.75;15150.37;1108;phrase;daddy without;2025-01-06T20:16:46;huzzah;2025-01-07T00:13:05
6;2847;38359d7b-f9c8-49c7-93a4-d603caa31fd2;council but hmph;foolishly below;deflect;qua beside;20415;4433;29977.33;18263.83;21953.22;from whose boo;31472.14;15588.63;24188.38;generously;15054.26;4013;17341;6030.85;yahoo educated;11849.7;18491.45;22459;21736.76;4519;9618;11928.37;22369.56;26827.47;1194.13;23855.78;18083.75;19417.14;26526.9;12720.07;27693.71;7474.87;3451.53;1903.71;14533.43;28738.78;16879.15;4409.17;29502.96;13070.07;25955.99;20843.46;2411.59;20065.04;30478.13;25871;closely blond;along perp;2025-01-07T07:06:53;ajar;2025-01-07T08:28:35
7;30743;e7a78ae9-6cff-441b-b766-d4deaffda783;investigate woefully towards;down phew;boldly almost;blah hm plus;623;32706;31614.67;10333.53;22415.97;cannon yippee;15241.68;22989.15;27509.09;epic as;8209.77;8547;8243;15862.33;astride pfft;17877.08;17087.15;2135;24303.9;18130;19172;21421.36;31656.34;13370.15;1177.67;12776.68;14468.94;4964.76;28943.6;2721.4;21336.46;5378.01;29622.41;7109.62;19405.96;23515.96;15765.19;29869.85;3686.76;2562.44;4448.97;7477.22;28105.86;11087.55;23481.77;1365;aha intellect;sweetly;2025-01-07T11:20:03;whoever astride unto;2025-01-07T03:48:10
8;9991;dde6abb0-5f92-41cc-b0f2-f81682975d50;descent whereas uncork;yesterday overdub;underneath till dreamily;step-mother;20327;26178;1559.24;24173.97;18705.48;pull via;4894.72;1073.03;25628.17;via;7422.66;4497;294;2528.37;ah but;20933.08;17083.72;26165;6760.98;26840;24318;1052.95;29627.33;27252.96;25494.35;22815.97;2808.25;24613.89;16512.92;25290.56;26830.24;29270.77;30833.05;18009.61;8766.87;3614.62;23302.4;23337.32;18050.07;27673.72;7802.81;26697.74;3101.8;25854.94;25220.46;18109;priesthood excitedly gladly;too;2025-01-07T10:21:58;summary black;2025-01-06T23:11:11
9;8323;01f47d63-f049-48ff-984a-ff8b69c9a4ba;despite glider;knavishly each dirty;pace dimly machine;now fully zesty;10290;19645;19958.88;4355.04;8476.16;coarse so;10801.17;27843.29;8651.62;apropos;3368.49;20659;10433;8558.48;psst kick adumbrate;2351.84;27008.62;22477;26385.02;5866;23294;27966.67;31257.38;11536.09;16262.89;12548.82;31269.43;23631.08;688.33;22332.32;30309.6;20972.69;14315.58;5970.46;24601.06;24500.86;21043.61;787.45;2993.01;20076.14;14408.34;18129.32;25344.16;18383.05;1299.93;27993;cafe when while;pace;2025-01-07T16:11:33;among ugh what;2025-01-07T13:05:14
10;26392;2ed328a7-384c-4e36-ab62-39eb844d1af1;howl;forenenst signature;aha bah;absent what;32533;7450;25097.1;6671.68;18655.96;emphasise mmm yet;15814.19;4669.3;23812.84;artistic swat;4591.32;11725;19551;10982.13;darling;29084.64;2594.66;3444;22089.26;1827;24104;19855.6;9904.16;3364.58;22864.63;5404.01;19983.55;10500.06;25719.36;15580.54;22875.85;30866.86;30920.58;9047.67;8840.32;15214.35;5796.12;9640.05;11033.73;15759.04;23015.2;16271.74;27397.57;23.84;32497.92;30253;gee besides;than;2025-01-07T11:35:38;however;2025-01-06T23:58:07
