id;sr_no;uid;customer_name;quote_date;file_name;country;browse;created_by;created_date;updated_by;updated_date
1;1988;2c93c4db-5f88-4a3c-bcca-507fd07f749d;opposite yahoo;2025-01-07;gee;Palestine;tarry marvelous;upward gripper which;2025-01-07T12:20:19;stack;2025-01-07T09:43:45
2;16131;d161cdb6-222f-4402-bc4b-12d879f68ca0;loyally;2025-01-07;how handful;South Sudan;ornate;gah furthermore;2025-01-07T13:00:02;an;2025-01-07T05:07:24
3;22416;5e07f853-69b6-4362-8cac-c44f40fa1291;relieve pish;2025-01-07;up;Iran;dislocate lumbering sparkling;midst mechanic inculcate;2025-01-07T13:55:19;machine;2025-01-06T18:22:42
4;29939;d8d0f898-9c5b-43b6-bd47-c4c95da2061d;astride spew;2025-01-07;sharply;Somalia;at comestible;adaptation unfreeze;2025-01-06T20:42:02;irresponsible verbally;2025-01-07T08:49:30
5;28182;5eec1e54-0afb-4d78-b127-ebc88a14426a;opposite although;2025-01-06;messy during;Azerbaijan;nor regulate slight;lovely;2025-01-07T17:03:32;affiliate boohoo;2025-01-07T02:24:14
6;16359;3b2dbabc-ab9c-4a2b-8481-5dbcf0d50cd2;vice inasmuch;2025-01-06;unnaturally;Panama;napkin oof;given treble;2025-01-07T02:12:08;manipulate below categorise;2025-01-07T02:47:10
7;30830;38e8c799-1bb7-4f06-accf-bfe0ca2fb4c7;besides spring pixellate;2025-01-07;ick;Switzerland;whereas except;once painfully drat;2025-01-06T19:40:37;chilly;2025-01-06T18:53:05
8;394;5bdb56cc-a3d5-4358-bd0b-554df89c2fdf;whereas;2025-01-07;sans hornet suddenly;Wallis and Futuna;within abaft adumbrate;amongst well-documented incinerate;2025-01-07T15:50:41;beyond however;2025-01-07T16:54:46
9;3255;6e48a615-4f1f-4582-813e-1af6433b09e4;trusty humidity actual;2025-01-07;aha;Iceland;alongside;mothball bend soon;2025-01-07T02:15:45;intently swanling underplay;2025-01-06T19:33:57
10;3168;44bf0441-91c8-4780-a3e6-d380746fa666;atop afterwards;2025-01-07;kosher creaking;Eritrea;embody;lumbering;2025-01-07T03:58:23;beneath where materialise;2025-01-07T09:27:43
