id;sr_no;uid;material_description;part_number;cad_file;eau;part_weight;material_type;material_cost;extended_material_cost_per;external_machine_cost_per;purchase_component_cost;secondary_external_operation_cost;overhead;pack_logistic_cost_per;machine_size_tons;number_of_cavities;cycle_time;per_unit;total_price_per_china;total_price_budget;grain_budget;dogating_fixture_budget;gauge_budget;eoat;china_tariff_budget;total_tooling_budget;lead_time;tooling_notes;part_description;job_id;mold_id;created_by;created_date;updated_by;updated_date
1;16889;6119cda3-48a3-4ebb-9d9e-dca75e07ca3a;ample dismal;lest;bandwidth;12388;2490;um how than;13786.34;10806.86;25569.2;10219.13;30637.75;17572.27;17539.89;calculating marketplace ah;31964;4880;29015.85;13004.66;9165.14;23352.43;5315.74;29233.56;1281.1;20002.34;21785.21;gee except;upright;modulo;whereas;intervention;opposite hm;2025-01-07T05:31:46;yuck helpless;2025-01-07T15:53:35
2;27228;0e127f41-8ea2-498d-abe0-aac0c4e7c9ae;testing hmph;vary reassuringly yippee;ample;19989;7838;alongside;28682.28;30036.39;28281.2;25251.6;28748.08;7660.54;8573.24;blindly goat private;18417;14131;3595.33;17525.51;297.22;28932.3;13037.25;3122.94;18054.38;28798.24;21129.41;toaster;lest joyous;stoop fondly;qua;unaware ouch;robust ugh;2025-01-06T21:24:14;jubilantly around;2025-01-06T22:59:40
3;32415;2e3d8c6a-0d1f-483c-a594-e9cc8109947f;pitiful than misreport;happily without;hence;23163;19690;lest;23980.43;1139.58;11781.75;13040.91;12712.32;21200.97;5365.41;unethically;22026;1432;14731.86;11604.98;23901.69;24160.85;2385.89;19063.57;11498.21;18146.27;13334.2;lustrous;because fold that;urban;whoever efface;brisk psst coil;spotless;2025-01-07T16:17:27;curse ligate decision;2025-01-07T01:10:49
4;20144;d4d20d5c-f3d5-41e3-8136-02ca28593e8f;an;quaintly;sanity;6833;8994;deep;28643.74;8668.42;17904.18;21459.85;22298.19;1224.03;24812.14;finally lest brook;30712;4278;6551.24;2871.85;32705.31;5852.63;18240.38;3543.71;26535.83;23416.59;29647.4;er;deflate;plus;openly;hm insolence;limply prudent sneaky;2025-01-06T19:45:05;between;2025-01-07T06:23:11
5;27228;6b99d0b4-5d53-4a9d-8bb3-c97439fd2b02;gadzooks metabolise;annual;usually;13736;21624;reorganisation;9953.26;25063.91;16400.04;6041.56;16003.8;17913.51;22594.91;speedily;21312;25474;8400.83;26923.72;18583.01;31690.14;980.7;25094.38;29103.76;4551.13;4316.3;somber cripple hungry;until pharmacopoeia extension;however;soap weary;regarding ick collaboration;yuck republican;2025-01-07T01:43:02;between;2025-01-06T19:45:33
6;10349;89219819-5635-4bde-8152-fe2ff2338dd5;besides;unearth tedious off;bleach at;21358;15858;wombat lazily;14348.72;18727.86;24321.53;25624.91;9925.64;26902.42;8557.89;psst validity;6808;27371;23611.89;11600.49;25005.14;1163.54;25917.34;19028.18;10494.6;18692.88;4744.45;going yahoo converse;whereas unexpectedly wilt;regulate cinch;regarding roasted ack;motivate;flawless gadzooks;2025-01-07T05:41:19;through uh-huh;2025-01-07T04:15:54
7;18292;60010283-31e1-4600-a24e-b3c4241fdbdb;brisk minority;needily yahoo;depute afore absent;22204;13562;shred;16587.06;30898.7;11088.97;20817.49;6769.13;9264.99;24331.17;intensely towards where;708;6508;31953.14;11782.83;31523.25;14421.99;11812.91;22199.3;2223.99;15689.39;32190.67;happily;phrase blah ah;worth what;whether besides;lanky fairly cantaloupe;gosh;2025-01-07T09:07:51;hmph;2025-01-07T16:05:27
8;26762;e48d1629-10e0-4969-886a-e48dcd20bace;ah why;blah conversation consequently;briefly shell across;18508;26295;newsprint as;1799.04;31916.25;8037.27;17975.41;16682.07;20188.89;7976;blah;29548;31895;16386.07;3627.1;4542.67;21989.86;16043.18;22819.63;2182.78;14981.44;13180.3;whether;next;supposing;shrilly;youthfully window;wilt reluctantly;2025-01-07T02:54:41;expatiate disinherit jut;2025-01-07T03:58:56
9;17990;42b53fb4-21af-4011-8a4e-b6ed88be9158;fibre gracious excited;behind;which but;21286;30217;gah;31261.04;11060.06;2236.83;8417.27;21666.28;31517.86;14777.08;uncommon plus frugal;10141;21729;32419.85;28834.3;26672;10904.53;16081.65;18741.36;26039.07;3704.39;25156.49;feminize;than enroll indeed;fairly whoever through;outfit mesh;as;arrange splosh incinerate;2025-01-07T09:23:33;now among;2025-01-07T05:33:20
10;14785;1b006f47-3ba4-4936-b903-1dc51d075932;sunbeam follower bourgeoisie;that pertinent until;pluck expensive;27788;28171;gee;18205.91;4202.63;10991.72;11224.23;580.33;21575.09;20286.06;ruddy;28774;12747;634.39;5424.36;1527.24;18326.79;3619.08;580.88;12938.73;2124.52;18097.64;merrily after on;frankly;passport dally tomorrow;lighthearted fixed drat;pigsty ack;tightly devoted;2025-01-07T06:49:03;ugh;2025-01-07T05:22:51
