id;sr_no;uid;material_description;part_number;cad_file;eau;part_weight;material_type;material_cost;extended_material_cost_per;external_machine_cost_per;purchase_component_cost;secondary_external_operation_cost;overhead;pack_logistic_cost_per;machine_size_tons;number_of_cavities;cycle_time;per_unit;total_price_per_china;total_price_budget;grain_budget;dogating_fixture_budget;gauge_budget;eoat;china_tariff_budget;total_tooling_budget;lead_time;tooling_notes;part_description;job_id;mold_id;quote_type;comments;created_by;created_date;updated_by;updated_date
1;1232;7bdf6d83-764c-445e-8ede-c4f7523b1bf8;until voluntarily;exasperation;yippee anti modulo;14600;25193;redraw;3454.69;10463.07;31878.44;10012.9;1202.83;32398.89;4738.1;hence quickly whoa;29489;2535;17160.19;31015.02;21132.67;4739.44;3509.48;1996.39;22631.35;8583.88;11962.36;um urgently outside;despite colligate;the;likewise hmph beneficial;gosh junior;pleasing;greedily;off plus bitterly;2025-01-07T11:06:08;yawningly;2025-01-06T18:57:24
2;31237;d6ecd8f7-b3ad-4348-b08a-0fc00b930461;hm;reservation;dress cow govern;31308;24259;inasmuch;14798.41;8500.73;19850.33;17626.36;11533;13766.71;23202.55;attend majestically;29650;2316;31977.61;20642.47;7141.79;32745.8;24247.85;14368.53;12351.09;31129.53;15178.37;ew sesame;warmly;progress pfft;ouch excepting why;during;colligate;digit intensely even;refine;2025-01-06T22:44:04;certification;2025-01-07T00:42:14
3;29647;c2aeaa0e-161a-4934-89ea-d12043db7fdf;wherever;overstay boohoo while;microchip pile um;27915;10981;biodegrade well;28352.29;27674.86;7321.03;8896.81;30506.4;26418.75;13710.55;accept;30342;1344;16358.75;27864.75;12547.63;6281.22;27150.77;32660.01;23100.29;16414.27;29619.75;over;overstay wound parallel;ew why;voluntarily censor positively;pfft;hype;pertinent sideboard intermarry;submitter;2025-01-07T09:46:33;duffel inspect;2025-01-06T23:38:41
4;20389;d0b4e7ec-522e-4aa9-8aa9-95e953be8034;on massive;awkwardly mmm;buck drag hopelessly;15662;14035;searchingly certainly;5694.95;15669.85;375.26;13346.67;8765.78;6126;31534.07;positively pricey at;17477;8086;3462.7;1971.69;31267.77;30282.08;28869.49;4808.82;9856.64;30155.89;5297.6;vice goodwill;blind an;above pushy;cornet nicely;customise task ecstatic;hmph yuck tremendously;lest true up;optimistically shyly ick;2025-01-07T01:53:28;staid near;2025-01-07T03:22:02
5;27086;5f5cb432-885f-4fe1-bb1c-9a9bfef85c9b;blissfully because coincide;or um community;design hole excitable;24855;1130;calmly;25309.98;31944.21;25456.31;21152.02;5708.2;2038.2;9567.96;fast waist selfish;9800;3320;3200.4;21616.92;21625.52;9448.45;7257.03;16166.22;8871.87;29891.95;24172.34;median;fooey er carefully;finally ramp lonely;beard provision;nippy;frivolous over;yahoo;geez trolley past;2025-01-07T17:18:31;pish;2025-01-06T21:37:33
6;22176;2a37b1d3-c0ec-4e85-8274-c5f26e8756d9;promptly than;wafer shush personal;busily wasteful curiously;16652;9337;knife bore christen;9277;24943.28;12955.62;13841.01;11564.1;457.24;10356.65;excepting;13402;3931;22934.06;8323.84;31084.06;26211.6;19454.94;18160.49;8025.7;1304.01;14559.44;times lock wherever;how pink athwart;excepting;zowie overheard;fledgling;whoa digit yet;faint;avalanche;2025-01-07T17:19:11;loftily mad decide;2025-01-07T06:13:48
7;12707;fc191326-d689-40d7-9bf2-5d19ca3b8873;commonly last;yesterday;versus;24808;14172;thorny substantiate;7317.96;30859.18;8029.8;12758.34;19080.34;17503.83;20986.27;er tightly fooey;29198;30330;29771.2;18872.28;4918.83;6822.69;16681.78;17235.69;3351.54;8812.49;3119.14;glisten;huzzah solidly pink;yum;anti at white;hose newsstand utilized;negative scorpion;besides militate inasmuch;restructure on likely;2025-01-06T23:53:35;casket;2025-01-07T18:06:29
8;3800;c3727131-aa3d-4ac4-8547-dd22fbcae4b0;gee psst;mostly;atop demobilise underneath;12888;22119;duh critical;18622.56;24194.63;5239.42;10715.69;12228.84;27537.49;31931.03;handful if;8803;30994;31586.98;16935.12;260.01;31620.74;1738.34;9778.3;14266.6;14205.86;3169.38;terrorise quart;exacerbate without anenst;illiterate metabolite woot;although always;aha near;exonerate;afterwards;mature phony ew;2025-01-07T13:57:29;familiar which;2025-01-07T10:00:46
9;16903;aec00430-ec06-4c2d-8999-1d4a54fdfe0d;depend since towards;singing questioningly round;appropriate hollow vacantly;8951;12908;forgo toady;26706.85;9799.91;32203.54;7005.2;16816.37;27310.02;6761.77;nor at;514;15697;11054.24;5211.03;24113.98;16203.71;18762.09;1253.1;12327.03;23624.97;31975.77;supposing;victoriously follower;breakable expert violent;crowded wire;yet;instead reconsideration since;commonly;statue pike;2025-01-07T11:37:30;hourly earnest;2025-01-07T05:34:14
10;13552;6314659b-0fd0-4987-b2fd-70de2142d24a;once rosemary experienced;meanwhile;really amused;15718;8476;orchid louse;5693.37;23149.03;29194.89;18792.24;28501.8;28838.56;16290.92;willow zowie;17849;162;19345.02;23251.09;23008.03;505.11;5713.21;10137.46;21060.3;31062.64;12731.77;phooey;softly electrify;convoke kissingly since;abaft;hyphenation excepting;quarrelsomely;bar;appertain oh;2025-01-07T16:21:35;mobilize whispered;2025-01-07T00:56:06
