id;sr_no;uid;vendor_name;quote_date;file_name;country;browse;created_by;created_date;updated_by;updated_date
1;6689;2ce51022-e55f-4d58-bb0f-b17d86c1ff97;vivacious tank brr;2025-01-07;fooey birth;Liechtenstein;fidget hydrant;famously;2025-01-06T21:20:32;wavy;2025-01-07T16:19:43
2;591;fc286200-6a0e-4890-b6e1-d4a5b35fa43b;since exhaust;2025-01-07;precedent into cram;Czechia;hm;ugh range;2025-01-07T17:30:17;whereas vivaciously print;2025-01-06T20:41:39
3;23479;550bf730-d7e7-4e8c-b88a-a498e2c7f464;reference circa;2025-01-07;drat condense;Pitcairn Islands;reconsideration than;pfft always pace;2025-01-06T19:14:09;relaunch ew phew;2025-01-07T16:35:29
4;21569;cf498ca5-96ea-4baa-b231-b114d1a3cc6f;tenement whack oh;2025-01-07;midst cheese delightfully;Afghanistan;clavicle oh;yuck indeed pfft;2025-01-06T21:10:21;underneath incinerate even;2025-01-07T06:12:56
5;17558;6b5e7e34-8ee0-4d7e-98bf-388d80126150;but;2025-01-07;indeed;Colombia;ouch phew inferior;imaginative where indeed;2025-01-07T05:50:02;if;2025-01-07T09:43:08
6;4755;6d54c6b8-f279-4429-83ea-85305e0d240c;duh so;2025-01-06;why or readmit;San Marino;hollow yum;daily extension;2025-01-07T06:20:04;swift over;2025-01-07T07:57:17
7;11945;54024afe-3515-406b-9bb7-998479cf6cc0;notwithstanding exonerate;2025-01-07;prickly;Lesotho;late whether;brr ack;2025-01-07T08:47:34;properly armoire onto;2025-01-06T21:26:47
8;785;fd16f303-b5f8-4e1f-a9d2-85ed9c5cdc9e;overload;2025-01-07;within phooey times;American Samoa;or gosh;tag unfortunately;2025-01-06T19:40:30;past daughter geez;2025-01-07T16:06:57
9;5162;130df783-4e5d-467c-a539-d98da819904a;obediently metabolite usually;2025-01-07;hopelessly accept that;Virgin Islands, U.S.;entire merit gray;disgorge tomatillo;2025-01-06T19:55:07;unlike jellyfish;2025-01-06T20:50:34
10;11404;2618099d-3565-49ed-9070-e005a084e834;messy tune;2025-01-07;below;Yemen;farm;oof;2025-01-06T20:33:37;wrongly;2025-01-07T07:38:11
