id;sr_no;uid;vendor_name;quote_date;file_name;country;browse;created_by;created_date;updated_by;updated_date
1;7153;183def56-f332-4528-abc1-12d17d82df71;damaged;2025-01-07;than evince;Angola;among flickering;carouse;2025-01-07T00:59:13;ugh;2025-01-07T07:25:25
2;14869;59383d9a-eb75-4991-84cf-39441c50d1e6;opposite without;2025-01-07;tank until considering;Qatar;animated duh;statue correctly;2025-01-07T00:59:18;pish bore;2025-01-06T21:39:10
3;14266;881b9bf7-cb14-41da-a703-292cbc2af6d2;qua;2025-01-07;federate mash babyish;Tokelau;mild monthly likewise;yearly before;2025-01-07T03:53:37;pupil apparatus;2025-01-07T03:04:05
4;11783;c43d6629-654b-4ed2-af14-35952d5515de;supposing yuck impassioned;2025-01-07;atomize parsnip;Monaco;gee charter;across skateboard;2025-01-07T04:07:18;oh captain;2025-01-06T23:41:05
5;11765;7965a127-5f37-4b0c-8e08-ae8b27beb154;inasmuch animated yum;2025-01-07;edge;Hungary;enchanting qua lid;provided clone;2025-01-07T02:27:27;yahoo unlike like;2025-01-07T17:40:06
6;738;54327e22-bff3-40c7-a182-2cb30e88dd7f;if fully;2025-01-06;skeletal likewise honored;Slovakia;rough;than despite;2025-01-07T09:27:22;republican fooey;2025-01-07T03:28:10
7;12727;2421c189-3ccf-43e1-9e0c-909fe811d291;gah shoddy especially;2025-01-07;bah marten;New Caledonia;fussy boohoo from;boohoo meaningfully yuck;2025-01-07T16:35:04;whether gosh;2025-01-07T09:29:00
8;21142;1268dc11-7684-4576-a781-cda890bc354e;vary as;2025-01-07;psst;Barbados;likewise;however tremendously after;2025-01-07T08:18:17;if;2025-01-07T07:24:14
9;18131;83f4af14-c409-4f0d-9fff-aa67a901a7f5;than husky;2025-01-06;blah;Western Sahara;youthfully;outnumber behind oof;2025-01-07T04:55:55;complication recklessly silently;2025-01-07T10:44:49
10;25797;6aa11115-4819-4d91-a247-66640ba12fdd;minus;2025-01-07;jubilantly far wonderfully;Paraguay;fully helpfully orientate;distinction besides;2025-01-07T04:18:27;yuck;2025-01-07T16:14:17
