id;sr_no;uid;vendor_id;vendor_name;contact;entry_date;trade_currency_id;address_1;address_2;address_3;mail_id;status;rating;is_delete_flag;related_buyer_uid;country;country_flag
1;1629;44de8686-1ebe-450c-9bd7-261d0dc24919;yuck;bitterly;viability wherever under;2025-01-07T05:20:16;yuck;blah;sad calmly before;gallivant ugh yippee;yowza sham;even;far what;24156;pleasure bashfully;Anguilla;lieu
2;14158;bc9e909b-d632-4d9d-95de-5dbef668e117;across atop polarisation;impartial for pulse;neatly inure;2025-01-07T08:40:25;tooth;welcome ick precedent;distant joyfully;voluntarily basket down;aw um;whether supportive;pop than uh-huh;25957;ectoderm what aside;Cambodia;phew
3;20320;61f872e8-bf6d-4d9d-9d77-b7013f7e450f;whether during;urgently where;tough;2025-01-06T21:32:03;desk usually sensitize;metal drat;worth gosh;flight;that;quarterly;joshingly blindly except;23280;stool;Syrian Arab Republic;excluding pro
4;21038;0255c2b7-100e-4cec-a787-862f17be032f;busily;excepting morbidity redraw;ah pastel dime;2025-01-07T06:30:18;rule;dreamily ugh;adviser and decode;excited illiterate miserably;weatherize;jaggedly indeed vol;yippee;7800;safely amid;Honduras;hyphenation ornate
5;10096;8330facf-fec4-4e6a-b3d2-380ecf41cec1;beneath;yippee;after though;2025-01-07T04:55:40;afford roger legislature;since;now but greedily;bewail;awkwardly;ew curl;personal ugh;12919;excitedly;Tanzania;bah cheerful why
6;9470;d539b4f8-2d4e-4435-af8c-fb604fce70cb;glorious dependable patiently;meh devil;narrowcast gee;2025-01-07T14:43:31;regarding caring pish;injunction because midst;brr as;understated;lawmaker hypothesise repeat;yum;absentmindedly;20504;beyond across once;Guam;until clamp
7;5350;9903d838-eff8-4061-b366-2cbb20211c37;pear failing;opposite like;gadzooks;2025-01-07T08:01:55;skean afore;especially;faithfully spook loose;screw;whereas;oval remark chromakey;debut;20717;veto;Northern Mariana Islands;really
8;3576;555cbbf1-0460-42b1-b650-99f4e1a9e067;gee stormy masquerade;underneath;what before for;2025-01-06T22:22:37;sheepishly;onto;ugh;forage speedily whoa;platypus malfunction oof;untidy;energetically mmm;26205;hence mid aha;Tuvalu;till
9;18313;ed4c7aaf-f16c-40c3-a9fd-e5e9974ff664;whoa swill on;shoot pish;colon;2025-01-06T21:46:22;afterwards;while and;sermon;conservation pocket-watch coop;likewise;yet maroon meanwhile;daintily determined;10242;sometimes remark;Saint Pierre and Miquelon;gosh once
10;3933;402f5121-220c-48a5-9805-ba975ff1e6af;commercial redact phew;boastfully;rag;2025-01-06T19:40:58;penalise drat spectacles;meh wonderfully;under;whoever before reconsideration;pillow;aftermath highly complication;why rightfully eek;17282;animated tragic pretend;Azerbaijan;innovate
